filename,version,pre_load,path,del_flg
kiss_all_01_illust,100,0,sprite/xnos/kiss,0
kiss_all_02_illust,100,0,sprite/xnos/kiss,0
kiss_member01_01_illust,100,0,sprite/xnos/kiss,0
kiss_member02_01_illust,100,0,sprite/xnos/kiss,0
kiss_member03_01_illust,100,0,sprite/xnos/kiss,0
kiss_member04_01_illust,100,0,sprite/xnos/kiss,0
kiss_member05_01_illust,100,0,sprite/xnos/kiss,0
kiss_member06_01_illust,100,0,sprite/xnos/kiss,0
kiss_all_01_icon,100,0,sprite/xnos/kiss,0
kiss_all_02_icon,100,0,sprite/xnos/kiss,0
kiss_member01_01_icon,100,0,sprite/xnos/kiss,0
kiss_member02_01_icon,100,0,sprite/xnos/kiss,0
kiss_member03_01_icon,100,0,sprite/xnos/kiss,0
kiss_member04_01_icon,100,0,sprite/xnos/kiss,0
kiss_member05_01_icon,100,0,sprite/xnos/kiss,0
kiss_member06_01_icon,100,0,sprite/xnos/kiss,0
kiss_member01_02_icon,100,0,sprite/xnos/kiss,0
kiss_member02_02_icon,100,0,sprite/xnos/kiss,0
kiss_member03_02_icon,100,0,sprite/xnos/kiss,0
kiss_member04_02_icon,100,0,sprite/xnos/kiss,0
kiss_member05_02_icon,100,0,sprite/xnos/kiss,0
kiss_member06_02_icon,100,0,sprite/xnos/kiss,0
kiss_member01_02_illust,100,0,sprite/xnos/kiss,0
kiss_member02_02_illust,100,0,sprite/xnos/kiss,0
kiss_member03_02_illust,100,0,sprite/xnos/kiss,0
kiss_member04_02_illust,100,0,sprite/xnos/kiss,0
kiss_member05_02_illust,100,0,sprite/xnos/kiss,0
kiss_member06_02_illust,100,0,sprite/xnos/kiss,0
