id,name,path,kakucho
1,ovl_voice1,voice/xnos/overload,mp3
2,ovl_voice2,voice/xnos/overload,mp3
3,ovl_voice3,voice/xnos/overload,mp3
4,ovl_voice4,voice/xnos/overload,mp3
5,ovl_voice5,voice/xnos/overload,mp3
6,ovl_voice6,voice/xnos/overload,mp3
7,ovl_voice7,voice/xnos/overload,mp3
8,ovl_voice8,voice/xnos/overload,mp3
9,ovl_voice9,voice/xnos/overload,mp3
10,ovl_voice10,voice/xnos/overload,mp3
11,ovl_voice11,voice/xnos/overload,mp3
12,ovl_voice12,voice/xnos/overload,mp3
13,ovl_voice13,voice/xnos/overload,mp3
14,ovl_voice14,voice/xnos/overload,mp3
15,ovl_voice15,voice/xnos/overload,mp3
16,ovl_voice16,voice/xnos/overload,mp3
